t (s),U1(V),U2(V)
0.000000,-0.115035,-0.041823
0.001000,-0.120264,-0.047051
0.002000,-0.115035,-0.047051
0.003000,-0.120264,-0.047051
0.004000,-0.115035,-0.047051
0.005000,-0.115035,-0.047051
0.006000,-0.115035,-0.041823
0.007000,-0.115035,-0.047051
0.008000,-0.115035,-0.047051
0.009000,-0.115035,-0.047051
0.010000,-0.120264,-0.047051
0.011000,-0.120264,-0.047051
0.012000,-0.120264,-0.047051
0.013000,-0.115035,-0.047051
0.014000,-0.120264,-0.047051
0.015000,-0.115035,-0.047051
0.016000,-0.115035,-0.047051
0.017000,-0.120264,-0.047051
0.018000,-0.115035,-0.041823
0.019000,-0.120264,-0.047051
0.020000,-0.120264,-0.047051
0.021000,-0.120264,-0.047051
0.022000,-0.120264,-0.047051
0.023000,-0.120264,-0.047051
0.024000,-0.115035,-0.047051
0.025000,-0.120264,-0.047051
0.026000,-0.115035,-0.047051
0.027000,-0.115035,-0.041823
0.028000,-0.115035,-0.047051
0.029000,-0.120264,-0.047051
0.030000,-0.120264,-0.047051
0.031000,-0.120264,-0.047051
0.032000,-0.120264,-0.047051
0.033000,-0.120264,-0.041823
0.034000,-0.120264,-0.047051
0.035000,-0.120264,-0.047051
0.036000,-0.120264,-0.047051
0.037000,-0.120264,-0.047051
0.038000,-0.120264,-0.047051
0.039000,-0.120264,-0.047051
0.040000,-0.120264,-0.047051
0.041000,-0.120264,-0.047051
0.042000,-0.120264,-0.047051
0.043000,-0.120264,-0.047051
0.044000,-0.120264,-0.047051
0.045000,-0.120264,-0.047051
0.046000,-0.120264,-0.047051
0.047000,-0.120264,-0.047051
0.048000,-0.120264,-0.047051
0.049000,-0.120264,-0.047051
0.050000,-0.120264,-0.041823
0.051000,-0.120264,-0.047051
0.052000,-0.120264,-0.041823
0.053000,-0.125493,-0.041823
0.054000,-0.125493,-0.047051
0.055000,-0.125493,-0.047051
0.056000,-0.120264,-0.047051
0.057000,-0.120264,-0.047051
0.058000,-0.125493,-0.047051
0.059000,-0.120264,-0.047051
0.060000,-0.120264,-0.047051
0.061000,-0.120264,-0.047051
0.062000,-0.120264,-0.047051
0.063000,-0.125493,-0.047051
0.064000,-0.120264,-0.047051
0.065000,-0.120264,-0.047051
0.066000,-0.120264,-0.047051
0.067000,-0.120264,-0.047051
0.068000,-0.120264,-0.047051
0.069000,-0.120264,-0.047051
0.070000,-0.125493,-0.047051
0.071000,-0.120264,-0.047051
0.072000,-0.120264,-0.047051
0.073000,-0.120264,-0.047051
0.074000,-0.120264,-0.047051
0.075000,-0.120264,-0.047051
0.076000,-0.120264,-0.047051
0.077000,-0.120264,-0.047051
0.078000,-0.125493,-0.047051
0.079000,-0.120264,-0.047051
0.080000,-0.125493,-0.047051
0.081000,-0.120264,-0.047051
0.082000,-0.120264,-0.047051
0.083000,-0.125493,-0.047051
0.084000,-0.125493,-0.047051
0.085000,-0.120264,-0.041823
0.086000,-0.125493,-0.047051
0.087000,-0.125493,-0.047051
0.088000,-0.120264,-0.047051
0.089000,-0.125493,-0.047051
0.090000,-0.120264,-0.047051
0.091000,-0.125493,-0.047051
0.092000,-0.125493,-0.041823
0.093000,-0.125493,-0.047051
0.094000,-0.125493,-0.047051
0.095000,-0.120264,-0.047051
0.096000,-0.125493,-0.047051
0.097000,-0.125493,-0.047051
0.098000,-0.125493,-0.047051
0.099000,-0.125493,-0.047051
0.100000,-0.125493,-0.047051
0.101000,-0.125493,-0.047051
0.102000,-0.125493,-0.047051
0.103000,-0.125493,-0.047051
0.104000,-0.125493,-0.047051
0.105000,-0.125493,-0.047051
0.106000,-0.125493,-0.047051
0.107000,-0.120264,-0.047051
0.108000,-0.125493,-0.047051
0.109000,-0.125493,-0.041823
0.110000,-0.120264,-0.047051
0.111000,-0.125493,-0.047051
0.112000,-0.120264,-0.047051
0.113000,-0.125493,-0.047051
0.114000,-0.120264,-0.041823
0.115000,-0.125493,-0.047051
0.116000,-0.125493,-0.047051
0.117000,-0.125493,-0.047051
0.118000,-0.125493,-0.047051
0.119000,-0.120264,-0.047051
0.120000,-0.120264,-0.047051
0.121000,-0.125493,-0.047051
0.122000,-0.125493,-0.047051
0.123000,-0.125493,-0.047051
0.124000,-0.125493,-0.047051
0.125000,-0.125493,-0.047051
0.126000,-0.125493,-0.047051
0.127000,-0.120264,-0.047051
0.128000,-0.125493,-0.041823
0.129000,-0.120264,-0.041823
0.130000,-0.125493,-0.041823
0.131000,-0.125493,-0.041823
0.132000,-0.125493,-0.047051
0.133000,-0.125493,-0.047051
0.134000,-0.125493,-0.047051
0.135000,-0.125493,-0.047051
0.136000,-0.125493,-0.041823
0.137000,-0.125493,-0.047051
0.138000,-0.125493,-0.047051
0.139000,-0.125493,-0.047051
0.140000,-0.125493,-0.041823
0.141000,-0.125493,-0.047051
0.142000,-0.125493,-0.047051
0.143000,-0.120264,-0.047051
0.144000,-0.125493,-0.047051
0.145000,-0.125493,-0.041823
0.146000,-0.125493,-0.047051
0.147000,-0.120264,-0.047051
0.148000,-0.125493,-0.041823
0.149000,-0.125493,-0.047051
0.150000,-0.130722,-0.041823
0.151000,-0.125493,-0.047051
0.152000,-0.125493,-0.047051
0.153000,-0.125493,-0.041823
0.154000,-0.120264,-0.047051
0.155000,-0.125493,-0.041823
0.156000,-0.125493,-0.041823
0.157000,-0.125493,-0.047051
0.158000,-0.125493,-0.047051
0.159000,-0.125493,-0.041823
0.160000,-0.125493,-0.047051
0.161000,-0.125493,-0.041823
0.162000,-0.125493,-0.047051
0.163000,-0.125493,-0.047051
0.164000,-0.125493,-0.047051
0.165000,-0.125493,-0.047051
0.166000,-0.125493,-0.041823
0.167000,-0.120264,-0.041823
0.168000,-0.125493,-0.047051
0.169000,-0.125493,-0.041823
0.170000,-0.120264,-0.047051
0.171000,-0.125493,-0.047051
0.172000,-0.130722,-0.041823
0.173000,-0.125493,-0.047051
0.174000,-0.120264,-0.041823
0.175000,-0.125493,-0.041823
0.176000,-0.125493,-0.041823
0.177000,-0.120264,-0.041823
0.178000,-0.125493,-0.041823
0.179000,-0.125493,-0.047051
0.180000,-0.125493,-0.047051
0.181000,-0.120264,-0.047051
0.182000,-0.125493,-0.047051
0.183000,-0.125493,-0.047051
0.184000,-0.125493,-0.041823
0.185000,-0.125493,-0.041823
0.186000,-0.125493,-0.047051
0.187000,-0.125493,-0.041823
0.188000,-0.125493,-0.041823
0.189000,-0.125493,-0.041823
0.190000,-0.125493,-0.041823
0.191000,-0.125493,-0.041823
0.192000,-0.125493,-0.041823
0.193000,-0.125493,-0.041823
0.194000,-0.125493,-0.047051
0.195000,-0.125493,-0.047051
0.196000,-0.125493,-0.041823
0.197000,-0.125493,-0.041823
0.198000,-0.125493,-0.041823
0.199000,-0.120264,-0.041823
0.200000,-0.120264,-0.041823
0.201000,-0.125493,-0.047051
0.202000,-0.125493,-0.041823
0.203000,-0.120264,-0.041823
0.204000,-0.120264,-0.047051
0.205000,-0.120264,-0.047051
0.206000,-0.125493,-0.047051
0.207000,-0.125493,-0.041823
0.208000,-0.120264,-0.041823
0.209000,-0.120264,-0.041823
0.210000,-0.125493,-0.041823
0.211000,-0.125493,-0.041823
0.212000,-0.125493,-0.041823
0.213000,-0.120264,-0.041823
0.214000,-0.125493,-0.041823
0.215000,-0.125493,-0.041823
0.216000,-0.125493,-0.041823
0.217000,-0.120264,-0.041823
0.218000,-0.120264,-0.041823
0.219000,-0.120264,-0.041823
0.220000,-0.120264,-0.047051
0.221000,-0.120264,-0.041823
0.222000,-0.120264,-0.041823
0.223000,-0.120264,-0.041823
0.224000,-0.125493,-0.041823
0.225000,-0.120264,-0.041823
0.226000,-0.120264,-0.041823
0.227000,-0.120264,-0.041823
0.228000,-0.120264,-0.041823
0.229000,-0.125493,-0.047051
0.230000,-0.125493,-0.041823
0.231000,-0.120264,-0.041823
0.232000,-0.120264,-0.041823
0.233000,-0.120264,-0.041823
0.234000,-0.125493,-0.047051
0.235000,-0.120264,-0.041823
0.236000,-0.120264,-0.041823
0.237000,-0.120264,-0.041823
0.238000,-0.120264,-0.047051
0.239000,-0.120264,-0.041823
0.240000,-0.120264,-0.041823
0.241000,-0.120264,-0.041823
0.242000,-0.120264,-0.041823
0.243000,-0.120264,-0.041823
0.244000,-0.125493,-0.041823
0.245000,-0.120264,-0.041823
0.246000,-0.120264,-0.041823
0.247000,-0.120264,-0.041823
0.248000,-0.120264,-0.041823
0.249000,-0.120264,-0.041823
0.250000,-0.120264,-0.041823
0.251000,-0.120264,-0.041823
0.252000,-0.120264,-0.041823
0.253000,-0.120264,-0.041823
0.254000,-0.120264,-0.041823
0.255000,-0.120264,-0.041823
0.256000,-0.120264,-0.041823
0.257000,-0.120264,-0.041823
0.258000,-0.120264,-0.041823
0.259000,-0.120264,-0.041823
0.260000,-0.120264,-0.041823
0.261000,-0.120264,-0.041823
0.262000,-0.120264,-0.041823
0.263000,-0.120264,-0.041823
0.264000,-0.120264,-0.041823
0.265000,-0.120264,-0.041823
0.266000,-0.120264,-0.041823
0.267000,-0.115035,-0.036595
0.268000,-0.120264,-0.041823
0.269000,-0.115035,-0.041823
0.270000,-0.120264,-0.041823
0.271000,-0.120264,-0.041823
0.272000,-0.120264,-0.041823
0.273000,-0.120264,-0.041823
0.274000,-0.120264,-0.036595
0.275000,-0.120264,-0.041823
0.276000,-0.115035,-0.041823
0.277000,-0.120264,-0.041823
0.278000,-0.120264,-0.036595
0.279000,-0.120264,-0.041823
0.280000,-0.120264,-0.041823
0.281000,-0.115035,-0.036595
0.282000,-0.115035,-0.041823
0.283000,-0.115035,-0.036595
0.284000,-0.115035,-0.041823
0.285000,-0.120264,-0.041823
0.286000,-0.115035,-0.036595
0.287000,-0.120264,-0.036595
0.288000,-0.120264,-0.036595
0.289000,-0.115035,-0.036595
0.290000,-0.115035,-0.041823
0.291000,-0.115035,-0.041823
0.292000,-0.115035,-0.041823
0.293000,-0.115035,-0.041823
0.294000,-0.115035,-0.041823
0.295000,-0.115035,-0.036595
0.296000,-0.115035,-0.036595
0.297000,-0.115035,-0.036595
0.298000,-0.115035,-0.036595
0.299000,-0.115035,-0.036595
0.300000,-0.115035,-0.036595
0.301000,-0.115035,-0.041823
0.302000,-0.115035,-0.036595
0.303000,-0.115035,-0.036595
0.304000,-0.115035,-0.036595
0.305000,-0.115035,-0.036595
0.306000,-0.115035,-0.036595
0.307000,-0.115035,-0.036595
0.308000,-0.115035,-0.036595
0.309000,-0.115035,-0.041823
0.310000,-0.115035,-0.036595
0.311000,-0.115035,-0.036595
0.312000,-0.115035,-0.036595
0.313000,-0.115035,-0.036595
0.314000,-0.115035,-0.036595
0.315000,-0.115035,-0.036595
0.316000,-0.115035,-0.036595
0.317000,-0.109807,-0.036595
0.318000,-0.115035,-0.036595
0.319000,-0.115035,-0.041823
0.320000,-0.109807,-0.036595
0.321000,-0.109807,-0.036595
0.322000,-0.109807,-0.036595
0.323000,-0.109807,-0.036595
0.324000,-0.109807,-0.036595
0.325000,-0.109807,-0.036595
0.326000,-0.109807,-0.036595
0.327000,-0.109807,-0.036595
0.328000,-0.109807,-0.036595
0.329000,-0.109807,-0.036595
0.330000,-0.109807,-0.036595
0.331000,-0.109807,-0.036595
0.332000,-0.109807,-0.036595
0.333000,-0.115035,-0.036595
0.334000,-0.109807,-0.036595
0.335000,-0.109807,-0.036595
0.336000,-0.109807,-0.036595
0.337000,-0.109807,-0.036595
0.338000,-0.109807,-0.031367
0.339000,-0.109807,-0.036595
0.340000,-0.109807,-0.036595
0.341000,-0.109807,-0.036595
0.342000,-0.109807,-0.036595
0.343000,-0.109807,-0.036595
0.344000,-0.109807,-0.036595
0.345000,-0.109807,-0.036595
0.346000,-0.109807,-0.036595
0.347000,-0.109807,-0.036595
0.348000,-0.109807,-0.031367
0.349000,-0.109807,-0.036595
0.350000,-0.109807,-0.036595
0.351000,-0.109807,-0.036595
0.352000,-0.109807,-0.031367
0.353000,-0.109807,-0.036595
0.354000,-0.109807,-0.036595
0.355000,-0.109807,-0.036595
0.356000,-0.109807,-0.031367
0.357000,-0.109807,-0.031367
0.358000,-0.109807,-0.031367
0.359000,-0.109807,-0.036595
0.360000,-0.104578,-0.036595
0.361000,-0.104578,-0.031367
0.362000,-0.109807,-0.036595
0.363000,-0.104578,-0.031367
0.364000,-0.104578,-0.036595
0.365000,-0.109807,-0.036595
0.366000,-0.109807,-0.036595
0.367000,-0.104578,-0.031367
0.368000,-0.104578,-0.036595
0.369000,-0.104578,-0.036595
0.370000,-0.104578,-0.031367
0.371000,-0.104578,-0.031367
0.372000,-0.104578,-0.036595
0.373000,-0.104578,-0.031367
0.374000,-0.104578,-0.031367
0.375000,-0.104578,-0.031367
0.376000,-0.104578,-0.031367
0.377000,-0.104578,-0.036595
0.378000,-0.104578,-0.031367
0.379000,-0.104578,-0.031367
0.380000,-0.104578,-0.031367
0.381000,-0.104578,-0.031367
0.382000,-0.099349,-0.031367
0.383000,-0.104578,-0.031367
0.384000,-0.099349,-0.031367
0.385000,-0.104578,-0.031367
0.386000,-0.104578,-0.036595
0.387000,-0.104578,-0.031367
0.388000,-0.104578,-0.031367
0.389000,-0.104578,-0.031367
0.390000,-0.104578,-0.031367
0.391000,-0.104578,-0.036595
0.392000,-0.099349,-0.031367
0.393000,-0.099349,-0.031367
0.394000,-0.099349,-0.031367
0.395000,-0.099349,-0.031367
0.396000,-0.099349,-0.031367
0.397000,-0.099349,-0.031367
0.398000,-0.099349,-0.031367
0.399000,-0.099349,-0.031367
0.400000,-0.099349,-0.031367
0.401000,-0.099349,-0.031367
0.402000,-0.099349,-0.031367
0.403000,-0.099349,-0.026139
0.404000,-0.099349,-0.026139
0.405000,-0.099349,-0.031367
0.406000,-0.099349,-0.031367
0.407000,-0.099349,-0.031367
0.408000,-0.099349,-0.031367
0.409000,-0.094120,-0.031367
0.410000,-0.094120,-0.031367
0.411000,-0.094120,-0.026139
0.412000,-0.094120,-0.031367
0.413000,-0.094120,-0.031367
0.414000,-0.094120,-0.031367
0.415000,-0.094120,-0.031367
0.416000,-0.094120,-0.026139
0.417000,-0.099349,-0.031367
0.418000,-0.094120,-0.026139
0.419000,-0.099349,-0.026139
0.420000,-0.099349,-0.031367
0.421000,-0.094120,-0.026139
0.422000,-0.094120,-0.026139
0.423000,-0.099349,-0.026139
0.424000,-0.094120,-0.031367
0.425000,-0.094120,-0.031367
0.426000,-0.094120,-0.031367
0.427000,-0.094120,-0.026139
0.428000,-0.094120,-0.026139
0.429000,-0.094120,-0.026139
0.430000,-0.094120,-0.026139
0.431000,-0.094120,-0.031367
0.432000,-0.094120,-0.020911
0.433000,-0.094120,-0.026139
0.434000,-0.094120,-0.026139
0.435000,-0.094120,-0.026139
0.436000,-0.094120,-0.026139
0.437000,-0.094120,-0.026139
0.438000,-0.094120,-0.026139
0.439000,-0.094120,-0.026139
0.440000,-0.094120,-0.026139
0.441000,-0.094120,-0.026139
0.442000,-0.094120,-0.026139
0.443000,-0.088891,-0.026139
0.444000,-0.088891,-0.026139
0.445000,-0.094120,-0.026139
0.446000,-0.088891,-0.026139
0.447000,-0.088891,-0.026139
0.448000,-0.088891,-0.026139
0.449000,-0.088891,-0.026139
0.450000,-0.088891,-0.026139
0.451000,-0.088891,-0.026139
0.452000,-0.088891,-0.026139
0.453000,-0.088891,-0.026139
0.454000,-0.088891,-0.026139
0.455000,-0.088891,-0.020911
0.456000,-0.088891,-0.026139
0.457000,-0.088891,-0.026139
0.458000,-0.083662,-0.026139
0.459000,-0.088891,-0.026139
0.460000,-0.088891,-0.026139
0.461000,-0.088891,-0.026139
0.462000,-0.088891,-0.026139
0.463000,-0.088891,-0.026139
0.464000,-0.088891,-0.026139
0.465000,-0.083662,-0.026139
0.466000,-0.083662,-0.026139
0.467000,-0.083662,-0.026139
0.468000,-0.083662,-0.026139
0.469000,-0.083662,-0.026139
0.470000,-0.088891,-0.020911
0.471000,-0.083662,-0.020911
0.472000,-0.083662,-0.026139
0.473000,-0.083662,-0.020911
0.474000,-0.083662,-0.020911
0.475000,-0.083662,-0.026139
0.476000,-0.088891,-0.026139
0.477000,-0.083662,-0.020911
0.478000,-0.083662,-0.026139
0.479000,-0.083662,-0.020911
0.480000,-0.083662,-0.020911
0.481000,-0.083662,-0.026139
0.482000,-0.083662,-0.020911
0.483000,-0.083662,-0.020911
0.484000,-0.078433,-0.026139
0.485000,-0.078433,-0.020911
0.486000,-0.083662,-0.026139
0.487000,-0.078433,-0.020911
0.488000,-0.078433,-0.026139
0.489000,-0.083662,-0.026139
0.490000,-0.083662,-0.020911
0.491000,-0.083662,-0.020911
0.492000,-0.078433,-0.020911
0.493000,-0.078433,-0.020911
0.494000,-0.078433,-0.020911
0.495000,-0.078433,-0.020911
0.496000,-0.078433,-0.020911
0.497000,-0.078433,-0.020911
0.498000,-0.078433,-0.020911
0.499000,-0.078433,-0.020911
0.500000,-0.078433,-0.020911
0.501000,-0.078433,-0.020911
0.502000,-0.078433,-0.020911
0.503000,-0.073204,-0.020911
0.504000,-0.078433,-0.020911
0.505000,-0.078433,-0.020911
0.506000,-0.078433,-0.020911
0.507000,-0.078433,-0.020911
0.508000,-0.078433,-0.020911
0.509000,-0.078433,-0.015684
0.510000,-0.073204,-0.020911
0.511000,-0.078433,-0.020911
0.512000,-0.073204,-0.020911
0.513000,-0.078433,-0.020911
0.514000,-0.073204,-0.020911
0.515000,-0.073204,-0.020911
0.516000,-0.073204,-0.020911
0.517000,-0.073204,-0.020911
0.518000,-0.073204,-0.020911
0.519000,-0.073204,-0.020911
0.520000,-0.073204,-0.015684
0.521000,-0.073204,-0.020911
0.522000,-0.073204,-0.020911
0.523000,-0.073204,-0.020911
0.524000,-0.073204,-0.015684
0.525000,-0.073204,-0.020911
0.526000,-0.073204,-0.015684
0.527000,-0.073204,-0.015684
0.528000,-0.073204,-0.015684
0.529000,-0.067975,-0.015684
0.530000,-0.067975,-0.020911
0.531000,-0.067975,-0.015684
0.532000,-0.067975,-0.015684
0.533000,-0.067975,-0.015684
0.534000,-0.067975,-0.015684
0.535000,-0.067975,-0.020911
0.536000,-0.067975,-0.020911
0.537000,-0.067975,-0.015684
0.538000,-0.067975,-0.015684
0.539000,-0.067975,-0.020911
0.540000,-0.067975,-0.015684
0.541000,-0.067975,-0.015684
0.542000,-0.067975,-0.020911
0.543000,-0.067975,-0.015684
0.544000,-0.067975,-0.015684
0.545000,-0.067975,-0.015684
0.546000,-0.067975,-0.015684
0.547000,-0.067975,-0.015684
0.548000,-0.067975,-0.015684
0.549000,-0.067975,-0.015684
0.550000,-0.067975,-0.015684
0.551000,-0.062747,-0.015684
0.552000,-0.067975,-0.015684
0.553000,-0.062747,-0.015684
0.554000,-0.062747,-0.015684
0.555000,-0.062747,-0.015684
0.556000,-0.062747,-0.015684
0.557000,-0.062747,-0.015684
0.558000,-0.062747,-0.015684
0.559000,-0.062747,-0.015684
0.560000,-0.062747,-0.015684
0.561000,-0.057518,-0.015684
0.562000,-0.062747,-0.015684
0.563000,-0.062747,-0.015684
0.564000,-0.057518,-0.015684
0.565000,-0.062747,-0.010456
0.566000,-0.062747,-0.015684
0.567000,-0.062747,-0.015684
0.568000,-0.062747,-0.015684
0.569000,-0.057518,-0.015684
0.570000,-0.062747,-0.015684
0.571000,-0.062747,-0.015684
0.572000,-0.057518,-0.015684
0.573000,-0.062747,-0.015684
0.574000,-0.057518,-0.015684
0.575000,-0.062747,-0.010456
0.576000,-0.057518,-0.015684
0.577000,-0.057518,-0.010456
0.578000,-0.057518,-0.010456
0.579000,-0.057518,-0.015684
0.580000,-0.057518,-0.015684
0.581000,-0.057518,-0.010456
0.582000,-0.057518,-0.010456
0.583000,-0.057518,-0.010456
0.584000,-0.057518,-0.015684
0.585000,-0.057518,-0.010456
0.586000,-0.052289,-0.010456
0.587000,-0.057518,-0.010456
0.588000,-0.057518,-0.010456
0.589000,-0.052289,-0.015684
0.590000,-0.057518,-0.010456
0.591000,-0.057518,-0.010456
0.592000,-0.057518,-0.010456
0.593000,-0.052289,-0.010456
0.594000,-0.052289,-0.010456
0.595000,-0.052289,-0.010456
0.596000,-0.052289,-0.010456
0.597000,-0.052289,-0.010456
0.598000,-0.052289,-0.010456
0.599000,-0.052289,-0.015684
0.600000,-0.052289,-0.010456
0.601000,-0.052289,-0.010456
0.602000,-0.052289,-0.010456
0.603000,-0.052289,-0.010456
0.604000,-0.052289,-0.010456
0.605000,-0.052289,-0.010456
0.606000,-0.052289,-0.010456
0.607000,-0.047060,-0.010456
0.608000,-0.047060,-0.010456
0.609000,-0.052289,-0.005228
0.610000,-0.047060,-0.010456
0.611000,-0.052289,-0.010456
0.612000,-0.047060,-0.010456
0.613000,-0.047060,-0.010456
0.614000,-0.047060,-0.010456
0.615000,-0.047060,-0.010456
0.616000,-0.047060,-0.010456
0.617000,-0.047060,-0.010456
0.618000,-0.047060,-0.010456
0.619000,-0.047060,-0.010456
0.620000,-0.047060,-0.010456
0.621000,-0.047060,-0.010456
0.622000,-0.047060,-0.005228
0.623000,-0.041831,-0.010456
0.624000,-0.047060,-0.010456
0.625000,-0.041831,-0.005228
0.626000,-0.041831,-0.010456
0.627000,-0.047060,-0.010456
0.628000,-0.041831,-0.010456
0.629000,-0.041831,-0.005228
0.630000,-0.047060,-0.005228
0.631000,-0.041831,-0.005228
0.632000,-0.041831,-0.005228
0.633000,-0.041831,-0.005228
0.634000,-0.041831,-0.005228
0.635000,-0.041831,-0.005228
0.636000,-0.041831,-0.010456
0.637000,-0.041831,-0.005228
0.638000,-0.041831,-0.005228
0.639000,-0.041831,-0.005228
0.640000,-0.036602,-0.005228
0.641000,-0.041831,-0.005228
0.642000,-0.036602,-0.005228
0.643000,-0.036602,-0.005228
0.644000,-0.041831,-0.005228
0.645000,-0.036602,-0.005228
0.646000,-0.036602,-0.005228
0.647000,-0.036602,-0.005228
0.648000,-0.041831,-0.005228
0.649000,-0.036602,-0.005228
0.650000,-0.036602,-0.005228
0.651000,-0.036602,-0.005228
0.652000,-0.041831,-0.005228
0.653000,-0.036602,-0.005228
0.654000,-0.036602,-0.005228
0.655000,-0.036602,-0.005228
0.656000,-0.036602,-0.005228
0.657000,-0.036602,-0.005228
0.658000,-0.036602,-0.005228
0.659000,-0.036602,-0.005228
0.660000,-0.036602,-0.005228
0.661000,-0.036602,-0.005228
0.662000,-0.036602,-0.000000
0.663000,-0.036602,-0.005228
0.664000,-0.031373,-0.005228
0.665000,-0.031373,-0.005228
0.666000,-0.036602,-0.005228
0.667000,-0.031373,-0.000000
0.668000,-0.031373,-0.000000
0.669000,-0.031373,-0.005228
0.670000,-0.031373,-0.000000
0.671000,-0.031373,-0.005228
0.672000,-0.031373,-0.000000
0.673000,-0.031373,-0.000000
0.674000,-0.031373,-0.000000
0.675000,-0.031373,-0.000000
0.676000,-0.031373,-0.000000
0.677000,-0.031373,-0.005228
0.678000,-0.031373,-0.000000
0.679000,-0.026144,-0.005228
0.680000,-0.031373,-0.000000
0.681000,-0.031373,-0.000000
0.682000,-0.026144,-0.005228
0.683000,-0.026144,-0.000000
0.684000,-0.026144,-0.005228
0.685000,-0.026144,-0.000000
0.686000,-0.026144,-0.000000
0.687000,-0.026144,-0.000000
0.688000,-0.026144,-0.000000
0.689000,-0.026144,-0.000000
0.690000,-0.026144,-0.000000
0.691000,-0.026144,-0.000000
0.692000,-0.020916,-0.000000
0.693000,-0.026144,-0.000000
0.694000,-0.026144,-0.000000
0.695000,-0.026144,-0.000000
0.696000,-0.026144,-0.000000
0.697000,-0.026144,-0.000000
0.698000,-0.020916,-0.000000
0.699000,-0.020916,-0.000000
0.700000,-0.020916,-0.000000
0.701000,-0.020916,-0.000000
0.702000,-0.026144,-0.000000
0.703000,-0.020916,-0.000000
0.704000,-0.020916,-0.000000
0.705000,-0.020916,0.005228
0.706000,-0.020916,0.005228
0.707000,-0.020916,0.005228
0.708000,-0.020916,-0.000000
0.709000,-0.015687,-0.000000
0.710000,-0.020916,-0.000000
0.711000,-0.020916,-0.000000
0.712000,-0.020916,-0.000000
0.713000,-0.015687,-0.000000
0.714000,-0.015687,-0.000000
0.715000,-0.015687,-0.000000
0.716000,-0.020916,0.005228
0.717000,-0.015687,-0.000000
0.718000,-0.020916,-0.000000
0.719000,-0.015687,0.005228
0.720000,-0.015687,-0.000000
0.721000,-0.015687,-0.000000
0.722000,-0.015687,-0.000000
0.723000,-0.015687,-0.000000
0.724000,-0.015687,0.005228
0.725000,-0.010458,0.005228
0.726000,-0.015687,-0.000000
0.727000,-0.015687,0.005228
0.728000,-0.015687,-0.000000
0.729000,-0.015687,0.005228
0.730000,-0.010458,-0.000000
0.731000,-0.015687,-0.000000
0.732000,-0.015687,0.005228
0.733000,-0.015687,0.005228
0.734000,-0.015687,0.005228
0.735000,-0.015687,-0.000000
0.736000,-0.010458,0.005228
0.737000,-0.010458,0.005228
0.738000,-0.010458,0.005228
0.739000,-0.010458,-0.000000
0.740000,-0.010458,0.005228
0.741000,-0.010458,0.005228
0.742000,-0.010458,0.005228
0.743000,-0.010458,0.005228
0.744000,-0.010458,0.010456
0.745000,-0.010458,0.005228
0.746000,-0.015687,0.005228
0.747000,-0.010458,-0.000000
0.748000,-0.005229,0.005228
0.749000,-0.010458,0.005228
0.750000,-0.010458,0.005228
0.751000,-0.010458,0.005228
0.752000,-0.010458,0.010456
0.753000,-0.010458,0.005228
0.754000,-0.005229,0.005228
0.755000,-0.005229,0.005228
0.756000,-0.005229,0.005228
0.757000,-0.005229,0.005228
0.758000,-0.005229,0.005228
0.759000,-0.005229,0.005228
0.760000,-0.005229,0.010456
0.761000,-0.005229,0.005228
0.762000,-0.005229,0.010456
0.763000,-0.005229,0.005228
0.764000,-0.005229,0.005228
0.765000,0.000000,0.005228
0.766000,0.000000,0.005228
0.767000,-0.005229,0.005228
0.768000,0.000000,0.010456
0.769000,0.000000,0.005228
0.770000,0.000000,0.005228
0.771000,0.000000,0.010456
0.772000,0.000000,0.010456
0.773000,-0.005229,0.010456
0.774000,0.000000,0.010456
0.775000,0.000000,0.005228
0.776000,0.000000,0.010456
0.777000,0.000000,0.010456
0.778000,0.000000,0.010456
0.779000,0.000000,0.010456
0.780000,0.005229,0.010456
0.781000,0.000000,0.010456
0.782000,0.005229,0.010456
0.783000,0.005229,0.005228
0.784000,0.005229,0.010456
0.785000,0.000000,0.010456
0.786000,0.000000,0.005228
0.787000,0.000000,0.010456
0.788000,0.000000,0.010456
0.789000,0.005229,0.010456
0.790000,0.005229,0.010456
0.791000,0.005229,0.010456
0.792000,0.005229,0.010456
0.793000,0.005229,0.010456
0.794000,0.000000,0.010456
0.795000,0.005229,0.010456
0.796000,0.005229,0.010456
0.797000,0.005229,0.010456
0.798000,0.005229,0.010456
0.799000,0.005229,0.010456
0.800000,0.010458,0.010456
0.801000,0.005229,0.010456
0.802000,0.005229,0.010456
0.803000,0.005229,0.010456
0.804000,0.005229,0.010456
0.805000,0.005229,0.010456
0.806000,0.005229,0.015684
0.807000,0.010458,0.010456
0.808000,0.010458,0.010456
0.809000,0.010458,0.010456
0.810000,0.010458,0.010456
0.811000,0.010458,0.010456
0.812000,0.010458,0.010456
0.813000,0.010458,0.010456
0.814000,0.010458,0.010456
0.815000,0.010458,0.010456
0.816000,0.010458,0.015684
0.817000,0.010458,0.010456
0.818000,0.010458,0.015684
0.819000,0.015687,0.015684
0.820000,0.010458,0.010456
0.821000,0.015687,0.010456
0.822000,0.015687,0.010456
0.823000,0.010458,0.010456
0.824000,0.015687,0.015684
0.825000,0.015687,0.015684
0.826000,0.010458,0.010456
0.827000,0.015687,0.015684
0.828000,0.015687,0.015684
0.829000,0.015687,0.010456
0.830000,0.015687,0.015684
0.831000,0.015687,0.015684
