t (s)	U1(V)	U2(V)
0,000000	-0,005229	0,005228
0,001000	-0,005229	0,010456
0,002000	-0,005229	0,005228
0,003000	-0,005229	0,010456
0,004000	0,000000	0,005228
0,005000	0,000000	0,005228
0,006000	0,000000	0,010456
0,007000	0,000000	0,010456
0,008000	0,000000	0,010456
0,009000	0,000000	0,010456
0,010000	0,000000	0,010456
0,011000	0,005229	0,010456
0,012000	0,000000	0,010456
0,013000	0,005229	0,010456
0,014000	0,005229	0,010456
0,015000	0,000000	0,010456
0,016000	0,005229	0,010456
0,017000	0,005229	0,010456
0,018000	0,005229	0,010456
0,019000	0,005229	0,010456
0,020000	0,005229	0,010456
0,021000	0,005229	0,010456
0,022000	0,005229	0,010456
0,023000	0,005229	0,010456
0,024000	0,005229	0,010456
0,025000	0,005229	0,005228
0,026000	0,005229	0,010456
0,027000	0,005229	0,010456
0,028000	0,005229	0,015684
0,029000	0,005229	0,010456
0,030000	0,010458	0,015684
0,031000	0,010458	0,015684
0,032000	0,010458	0,015684
0,033000	0,010458	0,015684
0,034000	0,010458	0,010456
0,035000	0,010458	0,015684
0,036000	0,010458	0,010456
0,037000	0,010458	0,010456
0,038000	0,015687	0,010456
0,039000	0,010458	0,010456
0,040000	0,010458	0,010456
0,041000	0,010458	0,010456
0,042000	0,010458	0,010456
0,043000	0,015687	0,010456
0,044000	0,010458	0,015684
0,045000	0,015687	0,015684
0,046000	0,015687	0,015684
0,047000	0,015687	0,015684
0,048000	0,015687	0,015684
0,049000	0,015687	0,015684
0,050000	0,015687	0,010456
0,051000	0,015687	0,010456
0,052000	0,015687	0,010456
0,053000	0,020916	0,015684
0,054000	0,020916	0,010456
0,055000	0,020916	0,015684
0,056000	0,020916	0,015684
0,057000	0,015687	0,010456
0,058000	0,020916	0,015684
0,059000	0,020916	0,015684
0,060000	0,020916	0,015684
0,061000	0,020916	0,015684
0,062000	0,020916	0,015684
0,063000	0,026144	0,015684
0,064000	0,020916	0,015684
0,065000	0,020916	0,015684
0,066000	0,026144	0,010456
0,067000	0,020916	0,015684
0,068000	0,026144	0,010456
0,069000	0,026144	0,015684
0,070000	0,020916	0,015684
0,071000	0,026144	0,015684
0,072000	0,026144	0,015684
0,073000	0,026144	0,015684
0,074000	0,026144	0,015684
0,075000	0,026144	0,015684
0,076000	0,026144	0,015684
0,077000	0,026144	0,015684
0,078000	0,026144	0,015684
0,079000	0,026144	0,015684
0,080000	0,026144	0,015684
0,081000	0,031373	0,015684
0,082000	0,026144	0,015684
0,083000	0,031373	0,015684
0,084000	0,031373	0,015684
0,085000	0,031373	0,015684
0,086000	0,031373	0,020911
0,087000	0,031373	0,015684
0,088000	0,031373	0,015684
0,089000	0,031373	0,015684
0,090000	0,031373	0,015684
0,091000	0,031373	0,015684
0,092000	0,031373	0,015684
0,093000	0,031373	0,015684
0,094000	0,031373	0,015684
0,095000	0,031373	0,015684
0,096000	0,036602	0,015684
0,097000	0,036602	0,020911
0,098000	0,031373	0,020911
0,099000	0,036602	0,020911
0,100000	0,036602	0,015684
0,101000	0,036602	0,020911
0,102000	0,036602	0,015684
0,103000	0,036602	0,020911
0,104000	0,036602	0,020911
0,105000	0,041831	0,020911
0,106000	0,036602	0,020911
0,107000	0,036602	0,020911
0,108000	0,036602	0,015684
0,109000	0,036602	0,020911
0,110000	0,036602	0,020911
0,111000	0,041831	0,015684
0,112000	0,041831	0,020911
0,113000	0,041831	0,020911
0,114000	0,041831	0,020911
0,115000	0,041831	0,020911
0,116000	0,041831	0,020911
0,117000	0,041831	0,020911
0,118000	0,041831	0,020911
0,119000	0,041831	0,020911
0,120000	0,041831	0,020911
0,121000	0,041831	0,020911
0,122000	0,047060	0,020911
0,123000	0,041831	0,015684
0,124000	0,041831	0,015684
0,125000	0,047060	0,020911
0,126000	0,047060	0,020911
0,127000	0,047060	0,020911
0,128000	0,047060	0,015684
0,129000	0,047060	0,020911
0,130000	0,047060	0,020911
0,131000	0,047060	0,020911
0,132000	0,047060	0,020911
0,133000	0,047060	0,020911
0,134000	0,052289	0,020911
0,135000	0,047060	0,020911
0,136000	0,052289	0,020911
0,137000	0,047060	0,020911
0,138000	0,052289	0,020911
0,139000	0,052289	0,020911
0,140000	0,047060	0,026139
0,141000	0,047060	0,020911
0,142000	0,052289	0,020911
0,143000	0,052289	0,020911
0,144000	0,052289	0,020911
0,145000	0,052289	0,020911
0,146000	0,052289	0,026139
0,147000	0,052289	0,020911
0,148000	0,052289	0,020911
0,149000	0,057518	0,020911
0,150000	0,052289	0,020911
0,151000	0,057518	0,026139
0,152000	0,052289	0,020911
0,153000	0,052289	0,020911
0,154000	0,057518	0,020911
0,155000	0,057518	0,020911
0,156000	0,057518	0,020911
0,157000	0,057518	0,026139
0,158000	0,057518	0,020911
0,159000	0,057518	0,020911
0,160000	0,057518	0,020911
0,161000	0,057518	0,026139
0,162000	0,057518	0,020911
0,163000	0,057518	0,026139
0,164000	0,057518	0,020911
0,165000	0,062747	0,026139
0,166000	0,057518	0,026139
0,167000	0,057518	0,020911
0,168000	0,062747	0,026139
0,169000	0,062747	0,020911
0,170000	0,062747	0,026139
0,171000	0,062747	0,020911
0,172000	0,057518	0,026139
0,173000	0,057518	0,026139
0,174000	0,062747	0,020911
0,175000	0,062747	0,026139
0,176000	0,062747	0,020911
0,177000	0,062747	0,026139
0,178000	0,062747	0,026139
0,179000	0,062747	0,026139
0,180000	0,062747	0,026139
0,181000	0,062747	0,026139
0,182000	0,067975	0,026139
0,183000	0,067975	0,026139
0,184000	0,067975	0,026139
0,185000	0,067975	0,026139
0,186000	0,062747	0,026139
0,187000	0,067975	0,026139
0,188000	0,067975	0,026139
0,189000	0,067975	0,026139
0,190000	0,067975	0,026139
0,191000	0,067975	0,026139
0,192000	0,067975	0,026139
0,193000	0,067975	0,026139
0,194000	0,067975	0,026139
0,195000	0,067975	0,026139
0,196000	0,067975	0,026139
0,197000	0,067975	0,026139
0,198000	0,067975	0,026139
0,199000	0,073204	0,026139
0,200000	0,067975	0,026139
0,201000	0,073204	0,026139
0,202000	0,073204	0,026139
0,203000	0,073204	0,026139
0,204000	0,073204	0,026139
0,205000	0,067975	0,026139
0,206000	0,073204	0,026139
0,207000	0,073204	0,026139
0,208000	0,073204	0,026139
0,209000	0,073204	0,026139
0,210000	0,073204	0,026139
0,211000	0,073204	0,031367
0,212000	0,078433	0,026139
0,213000	0,073204	0,026139
0,214000	0,078433	0,026139
0,215000	0,073204	0,026139
0,216000	0,073204	0,026139
0,217000	0,078433	0,026139
0,218000	0,078433	0,026139
0,219000	0,078433	0,026139
0,220000	0,078433	0,026139
0,221000	0,073204	0,026139
0,222000	0,078433	0,026139
0,223000	0,078433	0,031367
0,224000	0,078433	0,031367
0,225000	0,078433	0,026139
0,226000	0,078433	0,026139
0,227000	0,078433	0,026139
0,228000	0,078433	0,026139
0,229000	0,078433	0,026139
0,230000	0,078433	0,026139
0,231000	0,078433	0,026139
0,232000	0,083662	0,026139
0,233000	0,083662	0,031367
0,234000	0,083662	0,031367
0,235000	0,083662	0,026139
0,236000	0,083662	0,026139
0,237000	0,083662	0,026139
0,238000	0,083662	0,026139
0,239000	0,083662	0,031367
0,240000	0,083662	0,026139
0,241000	0,083662	0,031367
0,242000	0,083662	0,026139
0,243000	0,083662	0,031367
0,244000	0,083662	0,026139
0,245000	0,083662	0,026139
0,246000	0,078433	0,031367
0,247000	0,083662	0,031367
0,248000	0,083662	0,031367
0,249000	0,088891	0,026139
0,250000	0,083662	0,031367
0,251000	0,083662	0,026139
0,252000	0,088891	0,026139
0,253000	0,088891	0,026139
0,254000	0,088891	0,031367
0,255000	0,088891	0,026139
0,256000	0,088891	0,031367
0,257000	0,088891	0,031367
0,258000	0,088891	0,031367
0,259000	0,088891	0,031367
0,260000	0,088891	0,026139
0,261000	0,088891	0,026139
0,262000	0,088891	0,031367
0,263000	0,088891	0,031367
0,264000	0,094120	0,026139
0,265000	0,088891	0,031367
0,266000	0,094120	0,031367
0,267000	0,088891	0,031367
0,268000	0,094120	0,031367
0,269000	0,094120	0,031367
0,270000	0,094120	0,031367
0,271000	0,088891	0,031367
0,272000	0,094120	0,031367
0,273000	0,094120	0,031367
0,274000	0,088891	0,031367
0,275000	0,094120	0,031367
0,276000	0,094120	0,031367
0,277000	0,094120	0,031367
0,278000	0,094120	0,031367
0,279000	0,094120	0,031367
0,280000	0,094120	0,031367
0,281000	0,094120	0,031367
0,282000	0,094120	0,031367
0,283000	0,094120	0,031367
0,284000	0,094120	0,031367
0,285000	0,094120	0,031367
0,286000	0,099349	0,031367
0,287000	0,094120	0,031367
0,288000	0,099349	0,031367
0,289000	0,094120	0,031367
0,290000	0,094120	0,031367
0,291000	0,099349	0,031367
0,292000	0,094120	0,031367
0,293000	0,099349	0,031367
0,294000	0,099349	0,031367
0,295000	0,099349	0,031367
0,296000	0,099349	0,031367
0,297000	0,099349	0,031367
0,298000	0,099349	0,031367
0,299000	0,099349	0,031367
0,300000	0,099349	0,031367
0,301000	0,099349	0,031367
